Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Verified,Word_Count,Review_Length,Average_Rating,Recommendation_Status,Verification_Status,Rating_Level,Date_Flown_Clean,Year,Month,Month_Name
Solo Leisure,Economy Class,Edinburgh to Bangalore via Heathrow,February 2019,3.0,1.0,3.0,1.0,1.0,1.0,no,yes,152,840,1.6666666666666667,Not Recommended,Verified,Low Rating,2019-02-01,2019,2,February
Solo Leisure,Economy Class,Berlin to Johannesburg via London,March 2018,3.0,3.0,2.0,3.0,4.0,4.0,yes,yes,84,494,3.1666666666666665,Recommended,Verified,Medium Rating,2018-03-01,2018,3,March
Family Leisure,Economy Class,New York JFK to London Heathrow,August 2018,3.0,4.0,3.0,2.0,3.0,3.0,yes,yes,47,290,3.0,Recommended,Verified,Medium Rating,2018-08-01,2018,8,August
Business,Economy Class,London to Milan ,November 2018,3.0,4.0,2.0,,4.0,2.0,no,no,125,702,3.0,Not Recommended,Not Verified,Medium Rating,2018-11-01,2018,11,November
Couple Leisure,Economy Class,New York to London via Geneva,January 2019,2.0,1.0,4.0,3.0,4.0,2.0,no,yes,156,833,2.6666666666666665,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Couple Leisure,First Class,Johannesburg to London ,January 2019,4.0,3.0,3.0,3.0,3.0,3.0,yes,yes,213,1228,3.1666666666666665,Recommended,Verified,Medium Rating,2019-01-01,2019,1,January
Couple Leisure,Business Class,London to Johannesburg ,January 2019,3.0,4.0,4.0,3.0,3.0,3.0,yes,yes,128,730,3.3333333333333335,Recommended,Verified,Medium Rating,2019-01-01,2019,1,January
Family Leisure,Business Class,London to Johannesburg,January 2019,4.0,5.0,4.0,5.0,4.0,4.0,yes,yes,132,708,4.333333333333333,Recommended,Verified,High Rating,2019-01-01,2019,1,January
Business,Business Class,London to Dublin,January 2019,5.0,5.0,5.0,,2.0,5.0,yes,yes,117,675,4.4,Recommended,Verified,High Rating,2019-01-01,2019,1,January
Couple Leisure,Premium Economy,Bermuda to Gatwick,January 2019,1.0,1.0,1.0,1.0,3.0,1.0,no,yes,225,1251,1.3333333333333333,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Business,Business Class,Kuala Lumpur to Miami via London,January 2019,2.0,2.0,1.0,,2.0,3.0,no,yes,80,440,2.0,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Solo Leisure,Economy Class,Zurich to Heathrow,January 2019,1.0,4.0,,1.0,1.0,2.0,no,yes,87,465,1.8,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Solo Leisure,Premium Economy,Miami to London,January 2019,3.0,4.0,1.0,3.0,3.0,3.0,no,yes,37,224,2.8333333333333335,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Solo Leisure,Economy Class,Copenhagen to Amsterdam via London Heathrow,February 2018,5.0,5.0,,,2.0,5.0,yes,yes,107,610,4.25,Recommended,Verified,High Rating,2018-02-01,2018,2,February
Couple Leisure,Premium Economy,Antigua to Gatwick,January 2019,1.0,2.0,2.0,3.0,4.0,1.0,no,yes,212,1168,2.1666666666666665,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Solo Leisure,Economy Class,Bucharest to London Heathrow to Los Angeles,January 2019,1.0,5.0,2.0,1.0,5.0,1.0,no,yes,242,1301,2.5,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Business,Business Class,London to Miami,January 2019,1.0,2.0,1.0,1.0,3.0,1.0,no,yes,99,553,1.5,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Business,Premium Economy,London to Calgary,June 2018,3.0,3.0,3.0,4.0,4.0,2.0,yes,yes,142,799,3.1666666666666665,Recommended,Verified,Medium Rating,2018-06-01,2018,6,June
Business,Premium Economy,Calgary to London,June 2018,3.0,4.0,3.0,3.0,3.0,2.0,no,yes,106,549,3.0,Not Recommended,Verified,Medium Rating,2018-06-01,2018,6,June
Business,Premium Economy,Bangalore to London,January 2019,2.0,2.0,2.0,1.0,2.0,1.0,no,yes,232,1417,1.6666666666666667,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Solo Leisure,Economy Class,Barcelona to New York via London,November 2018,2.0,2.0,1.0,2.0,1.0,1.0,no,yes,160,858,1.5,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Solo Leisure,Economy Class,Gatwick to Fort Lauderdale,December 2018,2.0,3.0,3.0,,3.0,2.0,no,yes,34,209,2.6,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,Economy Class,London to Bologna,December 2018,3.0,4.0,,,1.0,1.0,no,yes,179,995,2.25,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,Economy Class,Venice to London City,October 2018,5.0,5.0,4.0,,5.0,5.0,yes,yes,26,166,4.8,Recommended,Verified,High Rating,2018-10-01,2018,10,October
Couple Leisure,Economy Class,San Francisco to London,January 2019,1.0,1.0,1.0,1.0,1.0,1.0,no,yes,35,216,1.0,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Solo Leisure,Economy Class,Heathrow to Vancouver,October 2018,4.0,4.0,3.0,2.0,4.0,1.0,no,yes,38,223,3.0,Not Recommended,Verified,Medium Rating,2018-10-01,2018,10,October
Solo Leisure,Economy Class,London to Bucharest,January 2019,1.0,4.0,1.0,1.0,5.0,3.0,no,yes,41,224,2.5,Not Recommended,Verified,Low Rating,2019-01-01,2019,1,January
Business,Economy Class,Stuttgart to London,October 2018,1.0,1.0,,,1.0,1.0,no,yes,90,468,1.0,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Couple Leisure,Economy Class,London to Boston,December 2018,1.0,5.0,4.0,4.0,4.0,4.0,yes,yes,88,478,3.6666666666666665,Recommended,Verified,Medium Rating,2018-12-01,2018,12,December
Couple Leisure,Economy Class,Boston to London,December 2018,2.0,3.0,5.0,5.0,4.0,4.0,yes,yes,127,794,3.8333333333333335,Recommended,Verified,Medium Rating,2018-12-01,2018,12,December
Couple Leisure,Economy Class,London to Athens,December 2018,4.0,1.0,,,2.0,4.0,no,yes,109,618,2.75,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,Economy Class,London to Johannesburg,January 2019,5.0,5.0,5.0,5.0,5.0,5.0,yes,yes,150,792,5.0,Recommended,Verified,High Rating,2019-01-01,2019,1,January
Solo Leisure,Premium Economy,Newark to Bangalore via London,December 2018,4.0,4.0,4.0,4.0,4.0,3.0,yes,yes,592,3170,3.8333333333333335,Recommended,Verified,Medium Rating,2018-12-01,2018,12,December
Solo Leisure,Economy Class,London to Berlin,December 2018,,,,,1.0,3.0,no,yes,183,1027,2.0,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Solo Leisure,Economy Class,London to Mumbai,December 2018,5.0,5.0,5.0,3.0,5.0,4.0,yes,yes,181,1036,4.5,Recommended,Verified,High Rating,2018-12-01,2018,12,December
Solo Leisure,Premium Economy,Athens to Los Angeles via London,December 2018,2.0,4.0,3.0,2.0,2.0,1.0,no,yes,122,712,2.3333333333333335,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Family Leisure,Economy Class,Heathrow to Sydney via Singapore,December 2018,1.0,3.0,2.0,1.0,2.0,2.0,no,yes,303,1673,1.8333333333333333,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Solo Leisure,Economy Class,Leeds Bradford to London Heathrow,December 2018,3.0,5.0,,,5.0,4.0,yes,yes,291,1638,4.25,Recommended,Verified,High Rating,2018-12-01,2018,12,December
Solo Leisure,Economy Class,Gatwick to Tenerife,December 2018,1.0,3.0,4.0,,5.0,3.0,no,no,242,1316,3.2,Not Recommended,Not Verified,Medium Rating,2018-12-01,2018,12,December
Couple Leisure,Premium Economy,Denver to Paris via London,December 2018,,,,,,1.0,no,yes,139,738,1.0,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,Business Class,Johannesburg to London,November 2018,1.0,1.0,1.0,3.0,2.0,1.0,no,yes,186,983,1.5,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Solo Leisure,Economy Class,London to Kuala Lumpur,December 2018,1.0,4.0,3.0,1.0,5.0,1.0,no,yes,196,1010,2.5,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Solo Leisure,Economy Class,Los Angeles to London Heathrow,December 2018,2.0,2.0,1.0,4.0,1.0,2.0,no,yes,106,540,2.0,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Business,Economy Class,Seattle to London,November 2018,,,,,,1.0,no,yes,218,1183,1.0,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Couple Leisure,First Class,Gatwick to Barbados,December 2018,2.0,5.0,2.0,2.0,3.0,3.0,no,yes,481,2601,2.8333333333333335,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Solo Leisure,First Class,Moscow to London,December 2018,5.0,5.0,5.0,5.0,5.0,5.0,yes,yes,134,805,5.0,Recommended,Verified,High Rating,2018-12-01,2018,12,December
Solo Leisure,Economy Class,Johannesburg to London ,December 2018,3.0,2.0,3.0,2.0,3.0,3.0,no,yes,151,819,2.6666666666666665,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,Business Class,Bridgetown to Gatwick,December 2018,1.0,1.0,2.0,,2.0,1.0,no,yes,155,826,1.4,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,Economy Class,Glasgow to New York via London,December 2018,4.0,5.0,5.0,5.0,4.0,4.0,yes,yes,93,510,4.5,Recommended,Verified,High Rating,2018-12-01,2018,12,December
Business,Business Class,Sydney to London via Singapore,December 2018,1.0,1.0,1.0,1.0,2.0,1.0,no,yes,277,1489,1.1666666666666667,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,First Class,Johannesburg to London,December 2018,4.0,3.0,3.0,2.0,3.0,3.0,no,yes,118,728,3.0,Not Recommended,Verified,Medium Rating,2018-12-01,2018,12,December
Business,Business Class,Antigua to Gatwick,December 2018,2.0,1.0,1.0,,3.0,2.0,no,yes,72,426,1.8,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,First Class,Gatwick to Barbados,December 2018,2.0,2.0,2.0,1.0,1.0,1.0,no,yes,66,375,1.5,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Couple Leisure,Business Class,Cape Town to London,November 2018,2.0,1.0,1.0,3.0,3.0,1.0,no,yes,125,669,1.8333333333333333,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Couple Leisure,Economy Class,Bucharest to London,December 2018,1.0,1.0,,,1.0,1.0,no,yes,96,526,1.0,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Business,Economy Class,Kuala Lumpur to Mexico City via London,December 2018,4.0,5.0,4.0,4.0,5.0,5.0,yes,yes,102,550,4.5,Recommended,Verified,High Rating,2018-12-01,2018,12,December
Family Leisure,Economy Class,Miami to London,December 2018,1.0,1.0,1.0,1.0,3.0,1.0,no,yes,181,997,1.3333333333333333,Not Recommended,Verified,Low Rating,2018-12-01,2018,12,December
Solo Leisure,Premium Economy,London Gatwick to Tampa,November 2018,5.0,5.0,5.0,3.0,5.0,5.0,yes,yes,52,300,4.666666666666667,Recommended,Verified,High Rating,2018-11-01,2018,11,November
Couple Leisure,Economy Class,Bordeaux to London Gatwick,July 2018,3.0,2.0,,,1.0,1.0,no,yes,185,1038,1.75,Not Recommended,Verified,Low Rating,2018-07-01,2018,7,July
Family Leisure,Economy Class,Los Angeles to Rome via London,October 2018,,,,,,1.0,no,yes,166,947,1.0,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Family Leisure,Economy Class,Gatwick to Las Vegas,December 2018,3.0,4.0,4.0,1.0,4.0,4.0,yes,yes,110,567,3.3333333333333335,Recommended,Verified,Medium Rating,2018-12-01,2018,12,December
Couple Leisure,Premium Economy,Nassau to London,November 2018,2.0,3.0,1.0,1.0,3.0,1.0,no,no,115,654,1.8333333333333333,Not Recommended,Not Verified,Low Rating,2018-11-01,2018,11,November
Business,Business Class,Phoenix to Accra via London,November 2018,5.0,5.0,5.0,3.0,5.0,5.0,yes,yes,75,404,4.666666666666667,Recommended,Verified,High Rating,2018-11-01,2018,11,November
Solo Leisure,Economy Class,Manchester to London,November 2018,3.0,1.0,,,1.0,2.0,no,yes,87,512,1.75,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Solo Leisure,Economy Class,San Diego to Hannover via London,November 2018,2.0,4.0,4.0,4.0,2.0,2.0,no,yes,235,1291,3.0,Not Recommended,Verified,Medium Rating,2018-11-01,2018,11,November
Business,Economy Class,London Heathrow to Stuttgart,November 2018,1.0,,,,1.0,1.0,no,yes,69,359,1.0,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Couple Leisure,First Class,London to Johannesburg,November 2018,5.0,5.0,5.0,4.0,4.0,4.0,yes,yes,199,1214,4.5,Recommended,Verified,High Rating,2018-11-01,2018,11,November
Business,Business Class,London to Dubai,November 2018,4.0,5.0,4.0,1.0,4.0,1.0,no,yes,188,1056,3.1666666666666665,Not Recommended,Verified,Medium Rating,2018-11-01,2018,11,November
Family Leisure,Economy Class,Vancouver to London Heathrow,November 2018,5.0,5.0,4.0,2.0,5.0,4.0,yes,yes,207,1073,4.166666666666667,Recommended,Verified,High Rating,2018-11-01,2018,11,November
Solo Leisure,Economy Class,Boston to Nairobi via London,October 2018,3.0,1.0,1.0,,3.0,3.0,no,yes,164,890,2.2,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Solo Leisure,Premium Economy,Basel to San Fransisco via Heathrow,November 2018,2.0,3.0,2.0,3.0,5.0,2.0,no,yes,237,1247,2.8333333333333335,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Solo Leisure,Economy Class,London to Lyon,November 2018,2.0,1.0,,,1.0,1.0,no,yes,67,356,1.25,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Business,Economy Class,London to Boston,November 2018,3.0,5.0,4.0,4.0,4.0,5.0,yes,yes,35,214,4.166666666666667,Recommended,Verified,High Rating,2018-11-01,2018,11,November
Solo Leisure,Business Class,Stockholm to London,November 2018,3.0,5.0,2.0,,1.0,3.0,yes,yes,74,423,2.8,Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Business,Economy Class,Amsterdam to London,November 2018,4.0,4.0,,,1.0,3.0,no,yes,76,407,3.0,Not Recommended,Verified,Medium Rating,2018-11-01,2018,11,November
Couple Leisure,Economy Class,Buenos Aires to London,November 2018,1.0,2.0,1.0,1.0,1.0,1.0,no,yes,86,505,1.1666666666666667,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Business,Business Class,Riyadh to London,November 2018,1.0,2.0,2.0,3.0,3.0,1.0,no,yes,34,196,2.0,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Solo Leisure,Economy Class,Aberdeen to London,November 2018,,,,,1.0,1.0,no,yes,111,553,1.0,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Family Leisure,Economy Class,Singapore to Sydney,November 2018,1.0,1.0,1.0,1.0,1.0,1.0,no,yes,267,1408,1.0,Not Recommended,Verified,Low Rating,2018-11-01,2018,11,November
Family Leisure,Economy Class,London to Budapest,November 2018,5.0,1.0,,,5.0,5.0,no,yes,45,259,4.0,Not Recommended,Verified,High Rating,2018-11-01,2018,11,November
Solo Leisure,Economy Class,London to Athens,October 2018,4.0,3.0,2.0,2.0,3.0,3.0,yes,yes,91,498,2.8333333333333335,Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Solo Leisure,Business Class,London to Bangkok,October 2018,3.0,3.0,2.0,1.0,3.0,2.0,no,yes,181,978,2.3333333333333335,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Solo Leisure,Economy Class,Abu Dhabi to London,October 2018,2.0,1.0,1.0,1.0,3.0,3.0,no,yes,62,365,1.8333333333333333,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Business,Business Class,Gatwick to Orlando,October 2018,1.0,2.0,3.0,1.0,2.0,1.0,no,yes,86,494,1.6666666666666667,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Solo Leisure,Business Class,Newcastle to Las Vegas via London,October 2018,4.0,4.0,4.0,3.0,4.0,5.0,yes,yes,109,637,4.0,Recommended,Verified,High Rating,2018-10-01,2018,10,October
Solo Leisure,Economy Class,St Petersburg to London,October 2018,5.0,5.0,3.0,,5.0,3.0,yes,yes,142,817,4.2,Recommended,Verified,High Rating,2018-10-01,2018,10,October
Business,Business Class,London to Philadelphia,October 2018,1.0,1.0,2.0,3.0,2.0,1.0,no,yes,331,1792,1.6666666666666667,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Business,Business Class,Madrid to London,October 2018,4.0,5.0,4.0,,4.0,4.0,yes,yes,87,496,4.2,Recommended,Verified,High Rating,2018-10-01,2018,10,October
Family Leisure,Economy Class,London to Munich,October 2018,2.0,3.0,,,3.0,3.0,yes,yes,119,679,2.75,Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Couple Leisure,Economy Class,London to Cape Town,October 2018,2.0,1.0,2.0,,1.0,1.0,no,yes,58,369,1.4,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Family Leisure,Economy Class,Munich to London Heathrow,October 2018,2.0,4.0,,,5.0,3.0,yes,yes,124,656,3.5,Recommended,Verified,Medium Rating,2018-10-01,2018,10,October
Solo Leisure,First Class,Manchester to Philadelphia via London,October 2018,5.0,5.0,4.0,4.0,5.0,5.0,yes,yes,135,764,4.666666666666667,Recommended,Verified,High Rating,2018-10-01,2018,10,October
Business,Economy Class,Bangkok to London,October 2018,3.0,2.0,2.0,3.0,1.0,2.0,no,yes,71,399,2.1666666666666665,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Solo Leisure,Economy Class,London to Toronto,October 2018,1.0,3.0,3.0,2.0,2.0,1.0,no,yes,117,616,2.0,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Business,Economy Class,London to Vienna,October 2018,2.0,3.0,,,2.0,2.0,no,yes,39,206,2.25,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Business,Business Class,Johannesburg to London,October 2018,2.0,2.0,1.0,1.0,4.0,2.0,no,yes,186,992,2.0,Not Recommended,Verified,Low Rating,2018-10-01,2018,10,October
Solo Leisure,Business Class,Singapore to London Heathrow,September 2018,4.0,5.0,3.0,2.0,3.0,3.0,yes,yes,103,618,3.3333333333333335,Recommended,Verified,Medium Rating,2018-09-01,2018,9,September
Couple Leisure,Business Class,London to Los Angeles,August 2018,1.0,1.0,1.0,1.0,3.0,3.0,no,yes,384,2009,1.6666666666666667,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Solo Leisure,Premium Economy,Miami to London Heathrow,September 2018,1.0,5.0,3.0,2.0,1.0,2.0,no,yes,243,1318,2.3333333333333335,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Couple Leisure,Business Class,London Heathrow to Milan Malpensa,October 2018,1.0,1.0,1.0,1.0,1.0,1.0,no,no,54,318,1.0,Not Recommended,Not Verified,Low Rating,2018-10-01,2018,10,October
Couple Leisure,First Class,Calgary to Rome via London,September 2018,4.0,1.0,1.0,,1.0,1.0,no,no,554,2975,1.6,Not Recommended,Not Verified,Low Rating,2018-09-01,2018,9,September
Solo Leisure,Economy Class,London to Bangkok,March 2018,1.0,3.0,2.0,1.0,4.0,1.0,no,yes,296,1526,2.0,Not Recommended,Verified,Low Rating,2018-03-01,2018,3,March
Family Leisure,Economy Class,London Heathrow to Miami,August 2018,5.0,5.0,5.0,4.0,4.0,5.0,yes,yes,43,236,4.666666666666667,Recommended,Verified,High Rating,2018-08-01,2018,8,August
Solo Leisure,Economy Class,London to Singapore,September 2018,5.0,5.0,5.0,4.0,4.0,5.0,yes,yes,68,355,4.666666666666667,Recommended,Verified,High Rating,2018-09-01,2018,9,September
Solo Leisure,Economy Class,Dublin to London,September 2018,1.0,1.0,,,1.0,1.0,no,no,174,980,1.0,Not Recommended,Not Verified,Low Rating,2018-09-01,2018,9,September
Family Leisure,Business Class,London to Pisa,September 2018,1.0,4.0,4.0,,4.0,1.0,no,yes,230,1218,2.8,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Family Leisure,Economy Class,Prague to Heathrow,August 2018,1.0,3.0,,,1.0,1.0,no,yes,237,1352,1.5,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Business,Premium Economy,Kuala Lumpur to London Heathrow,September 2018,3.0,4.0,3.0,3.0,5.0,4.0,yes,yes,201,1125,3.6666666666666665,Recommended,Verified,Medium Rating,2018-09-01,2018,9,September
Couple Leisure,Business Class,Los Angeles to Leeds via London Heathrow ,June 2018,4.0,4.0,4.0,3.0,1.0,3.0,no,yes,59,361,3.1666666666666665,Not Recommended,Verified,Medium Rating,2018-06-01,2018,6,June
Couple Leisure,Business Class,Brindisi to London,September 2018,1.0,2.0,2.0,,1.0,2.0,no,yes,232,1397,1.6,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Couple Leisure,Premium Economy,Chicago to London,September 2018,1.0,1.0,1.0,1.0,3.0,1.0,no,yes,152,846,1.3333333333333333,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Family Leisure,Economy Class,Berlin to London,September 2018,2.0,2.0,,,2.0,1.0,no,yes,55,307,1.75,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Solo Leisure,Premium Economy,Riyadh to London ,August 2018,5.0,5.0,5.0,4.0,3.0,5.0,yes,yes,39,247,4.5,Recommended,Verified,High Rating,2018-08-01,2018,8,August
Couple Leisure,Economy Class,Rome to Newark via London,September 2018,4.0,4.0,3.0,3.0,4.0,3.0,yes,yes,323,1830,3.5,Recommended,Verified,Medium Rating,2018-09-01,2018,9,September
Business,Business Class,London Heathrow to New York JFK,September 2018,3.0,4.0,2.0,3.0,1.0,3.0,no,yes,71,387,2.6666666666666665,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Couple Leisure,First Class,London Heathrow to Dubai,September 2018,4.0,5.0,5.0,3.0,4.0,4.0,yes,no,452,2381,4.166666666666667,Recommended,Not Verified,High Rating,2018-09-01,2018,9,September
Couple Leisure,Economy Class,Heraklion to Gatwick,September 2018,2.0,2.0,,,1.0,1.0,no,yes,67,363,1.5,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Solo Leisure,Business Class,Madrid to London Heathrow,September 2018,3.0,5.0,5.0,,5.0,5.0,yes,yes,156,874,4.6,Recommended,Verified,High Rating,2018-09-01,2018,9,September
Couple Leisure,Business Class,London Heathrow to Brindisi,September 2018,2.0,3.0,2.0,,2.0,3.0,no,yes,140,875,2.4,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Business,Economy Class,London to Madrid,July 2018,2.0,3.0,1.0,,2.0,2.0,no,yes,164,915,2.0,Not Recommended,Verified,Low Rating,2018-07-01,2018,7,July
Couple Leisure,Economy Class,Hamburg to London,September 2018,3.0,1.0,,,1.0,3.0,no,yes,72,429,2.0,Not Recommended,Verified,Low Rating,2018-09-01,2018,9,September
Solo Leisure,Premium Economy,Glasgow to Miami via London,August 2018,3.0,5.0,5.0,2.0,4.0,4.0,yes,no,159,895,3.8333333333333335,Recommended,Not Verified,Medium Rating,2018-08-01,2018,8,August
Solo Leisure,Economy Class,London Heathrow to Budapest,August 2018,5.0,5.0,,,4.0,4.0,yes,yes,78,436,4.5,Recommended,Verified,High Rating,2018-08-01,2018,8,August
Solo Leisure,Economy Class,Budapest to London Heathrow,September 2018,4.0,4.0,,,5.0,4.0,yes,yes,79,425,4.25,Recommended,Verified,High Rating,2018-09-01,2018,9,September
Family Leisure,Business Class,Pisa to Toronto via London,September 2018,4.0,5.0,5.0,4.0,5.0,5.0,yes,yes,136,827,4.666666666666667,Recommended,Verified,High Rating,2018-09-01,2018,9,September
Business,Business Class,Madrid to Heathrow,August 2018,1.0,1.0,2.0,,2.0,2.0,no,yes,93,531,1.6,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Solo Leisure,Economy Class,Singapore to London,August 2018,1.0,1.0,3.0,3.0,2.0,1.0,no,yes,98,475,1.8333333333333333,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Solo Leisure,Economy Class,Washington to Frankfurt via London,August 2018,3.0,3.0,2.0,1.0,4.0,2.0,no,yes,285,1564,2.5,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Family Leisure,Economy Class,Rome to London,August 2018,3.0,3.0,,,3.0,2.0,no,yes,76,414,2.75,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Solo Leisure,Economy Class,London Heathrow to Hong Kong,August 2018,5.0,5.0,3.0,5.0,4.0,3.0,yes,yes,73,400,4.166666666666667,Recommended,Verified,High Rating,2018-08-01,2018,8,August
Solo Leisure,Economy Class,London Heathrow to Düsseldorf,August 2018,5.0,4.0,,,5.0,4.0,yes,no,56,284,4.5,Recommended,Not Verified,High Rating,2018-08-01,2018,8,August
Couple Leisure,Business Class,London to Athens,August 2018,1.0,3.0,2.0,1.0,2.0,3.0,no,yes,204,1097,2.0,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Family Leisure,First Class,London Heathrow to Singapore,July 2018,5.0,5.0,5.0,4.0,5.0,5.0,yes,yes,428,2320,4.833333333333333,Recommended,Verified,High Rating,2018-07-01,2018,7,July
Couple Leisure,Premium Economy,Philadelphia to London,August 2018,3.0,1.0,1.0,3.0,4.0,3.0,no,yes,224,1268,2.5,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Family Leisure,Economy Class,London to Las Vegas,July 2018,1.0,1.0,1.0,1.0,1.0,1.0,no,yes,113,653,1.0,Not Recommended,Verified,Low Rating,2018-07-01,2018,7,July
Business,Business Class,Zagreb to London,August 2018,2.0,2.0,1.0,,2.0,2.0,no,yes,63,331,1.8,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Family Leisure,Business Class,Los Angeles to Milan via London,August 2018,4.0,3.0,3.0,3.0,1.0,1.0,no,yes,92,545,2.5,Not Recommended,Verified,Low Rating,2018-08-01,2018,8,August
Solo Leisure,Premium Economy,Toronto to London,August 2018,3.0,5.0,2.0,2.0,4.0,3.0,yes,yes,627,3494,3.1666666666666665,Recommended,Verified,Medium Rating,2018-08-01,2018,8,August
Couple Leisure,Business Class,San Francisco to London Heathrow,July 2018,4.0,5.0,4.0,1.0,4.0,4.0,no,yes,240,1341,3.6666666666666665,Not Recommended,Verified,Medium Rating,2018-07-01,2018,7,July
Solo Leisure,Economy Class,London to Dublin,August 2018,5.0,5.0,2.0,,4.0,3.0,yes,yes,99,572,3.8,Recommended,Verified,Medium Rating,2018-08-01,2018,8,August
Couple Leisure,Economy Class,London to Paris,January 2018,3.0,5.0,5.0,,4.0,3.0,yes,yes,49,275,4.0,Recommended,Verified,High Rating,2018-01-01,2018,1,January
Couple Leisure,Economy Class,Amsterdam to London,June 2018,3.0,5.0,4.0,,4.0,4.0,yes,yes,31,211,4.0,Recommended,Verified,High Rating,2018-06-01,2018,6,June
Solo Leisure,First Class,New York JFK to London,August 2018,4.0,5.0,3.0,,5.0,4.0,no,yes,450,2524,4.2,Not Recommended,Verified,High Rating,2018-08-01,2018,8,August
Couple Leisure,Economy Class,Amman to London,April 2018,2.0,1.0,1.0,1.0,1.0,1.0,no,yes,329,1667,1.1666666666666667,Not Recommended,Verified,Low Rating,2018-04-01,2018,4,April
Couple Leisure,Business Class,Paphos to Gatwick,July 2018,3.0,5.0,3.0,,1.0,3.0,no,yes,251,1398,3.0,Not Recommended,Verified,Medium Rating,2018-07-01,2018,7,July
